Date, Open, High, Low, Close, Volume
08/17/18, 5.55, 5.60, 5.05, 5.55, 556900
08/16/18, 5.10, 5.26, 4.75, 5.10, 2060400
08/15/18, 4.80, 4.90, 4.70, 4.80, 568700
08/14/18, 4.75, 4.80, 4.50, 4.75, 1836300
08/13/18, 4.40, 4.50, 4.30, 4.40, 164800
08/10/18, 4.50, 4.65, 4.50, 4.50, 118400
08/09/18, 4.50, 4.70, 4.50, 4.50, 276100
08/08/18, 4.55, 4.70, 4.55, 4.55, 362400
08/07/18, 4.60, 4.70, 4.55, 4.60, 123800
08/06/18, 4.55, 4.70, 4.50, 4.55, 294500
08/03/18, 4.50, 4.70, 4.40, 4.50, 397400
08/02/18, 4.40, 4.50, 4.30, 4.40, 73500
08/01/18, 4.30, 4.40, 4.25, 4.30, 416000
07/31/18, 4.25, 4.50, 4.20, 4.25, 579800
07/30/18, 4.40, 4.50, 4.30, 4.40, 1168000
07/27/18, 4.45, 4.50, 4.35, 4.45, 804900
07/26/18, 4.45, 4.50, 4.40, 4.45, 114300
07/25/18, 4.45, 4.65, 4.40, 4.45, 226100
07/24/18, 4.50, 4.70, 4.50, 4.50, 451200
07/23/18, 4.55, 4.75, 4.40, 4.55, 172100
07/20/18, 4.50, 4.75, 4.40, 4.50, 871000
07/19/18, 4.75, 4.90, 4.65, 4.75, 488800
07/18/18, 4.75, 4.90, 4.20, 4.75, 1965900
07/17/18, 4.50, 5.25, 4.40, 4.50, 1287100
07/16/18, 4.80, 4.85, 4.55, 4.80, 3088100
07/13/18, 4.45, 4.45, 4.25, 4.45, 2045600
07/12/18, 4.05, 4.05, 4.05, 4.05, 850200
07/11/18, 3.70, 3.70, 3.70, 3.70, 5500
07/10/18, 3.40, 3.90, 3.25, 3.40, 889700
07/09/18, 3.60, 4.00, 3.55, 3.60, 4673300
07/06/18, 3.90, 4.00, 3.70, 3.90, 903100
07/05/18, 3.65, 3.65, 3.60, 3.65, 485800
07/04/18, 3.35, 3.60, 3.30, 3.35, 2821400
